title,artist,duration_seconds,genre,tempo_bpm,energy
Bohemian Rhapsody,Queen,354,Rock,72,high
Superstition,Stevie Wonder,245,Funk,101,high
Purple Rain,Prince,521,Rock,113,medium
Billie Jean,Michael Jackson,294,Pop,117,high
Stairway to Heaven,Led Zeppelin,482,Rock,82,medium
Respect,Aretha Franklin,147,Soul,115,high
Smells Like Teen Spirit,Nirvana,301,Rock,117,high
Redbone,Childish Gambino,327,Funk,81,medium
No Diggity,Blackstreet,299,R&B,86,medium
Take Five,Dave Brubeck,324,Jazz,176,low
So What,Miles Davis,561,Jazz,136,low
Lose Yourself,Eminem,326,Hip-Hop,86,high
Bizarre Love Triangle,New Order,268,Electronic,115,medium
Blue Monday,New Order,461,Electronic,130,high
Dreams,Fleetwood Mac,257,Rock,120,medium
Fast Car,Tracy Chapman,296,Folk,105,medium
Mr. Brightside,The Killers,222,Rock,148,high
Feeling Good,Nina Simone,177,Jazz,132,medium
A Change Is Gonna Come,Sam Cooke,190,Soul,78,low
Electric Feel,MGMT,229,Electronic,100,medium
